date,window,eval_period
2018-09-10,13,2018-01-01 to 2018-09-09
2018-11-12,13,2018-03-05 to 2018-11-11
2019-01-14,13,2018-05-07 to 2019-01-13
2019-03-18,15,2018-07-09 to 2019-03-17
2019-05-20,15,2018-09-10 to 2019-05-19
2019-07-22,14,2018-11-12 to 2019-07-21
2019-09-23,21,2019-01-14 to 2019-09-22
2019-11-25,35,2019-03-18 to 2019-11-24
2020-01-27,30,2019-05-20 to 2020-01-26
2020-03-30,28,2019-07-22 to 2020-03-29
2020-06-01,28,2019-09-23 to 2020-05-31
2020-08-03,21,2019-11-25 to 2020-08-02
2020-10-05,44,2020-01-27 to 2020-10-04
2020-12-07,22,2020-03-30 to 2020-12-06
2021-02-08,30,2020-06-01 to 2021-02-07
2021-04-12,50,2020-08-03 to 2021-04-11
2021-06-14,39,2020-10-05 to 2021-06-13
2021-08-16,21,2020-12-07 to 2021-08-15
2021-10-18,11,2021-02-08 to 2021-10-17
2021-12-20,11,2021-04-12 to 2021-12-19
2022-02-21,33,2021-06-14 to 2022-02-20
2022-04-25,33,2021-08-16 to 2022-04-24
2022-06-27,47,2021-10-18 to 2022-06-26
2022-08-29,38,2021-12-20 to 2022-08-28
2022-10-31,15,2022-02-21 to 2022-10-30
2023-01-02,21,2022-04-25 to 2023-01-01
2023-03-06,21,2022-06-27 to 2023-03-05
2023-05-08,21,2022-08-29 to 2023-05-07
2023-07-10,44,2022-10-31 to 2023-07-09
2023-09-11,36,2023-01-02 to 2023-09-10
2023-11-13,37,2023-03-06 to 2023-11-12
2024-01-15,31,2023-05-08 to 2024-01-14
2024-03-18,31,2023-07-10 to 2024-03-17
2024-05-20,27,2023-09-11 to 2024-05-19
2024-07-22,20,2023-11-13 to 2024-07-21
2024-09-23,17,2024-01-15 to 2024-09-22
